index_trip,request_datetime,pickup_datetime,dropoff_datetime,pulocationid,dolocationid,base_passenger_fare,tips,driver_pay,hour,year,month,day,on_time_pickup,uber_sales,pickup_zone,delivery_zone,source,sent_at
483,2021-01-27T14:02:46+00:00,2021-01-27T14:06:28+00:00,2021-01-27T14:41:29+00:00,257,225,29.07,0.0,26.22,,,,,,2.8500004,Windsor Terrace,Stuyvesant Heights,uber_trips_clean,2025-12-16T00:53:51.704841+00:00
483,2021-01-27T14:02:46+00:00,2021-01-27T14:06:28+00:00,2021-01-27T14:41:29+00:00,257,225,29.07,0.0,26.22,,,,,,2.8500004,Windsor Terrace,Stuyvesant Heights,uber_trips_prod,2025-12-16T00:53:51.705459+00:00
55,2021-01-04T05:43:41+00:00,2021-01-04T05:50:18+00:00,2021-01-04T06:19:10+00:00,22,137,38.13,0.0,29.63,,,,,,8.500002,Bensonhurst West,Kips Bay,uber_trips_clean,2025-12-16T00:53:56.706147+00:00
55,2021-01-04T05:43:41+00:00,2021-01-04T05:50:18+00:00,2021-01-04T06:19:10+00:00,22,137,38.13,0.0,29.63,,,,,,8.500002,Bensonhurst West,Kips Bay,uber_trips_prod,2025-12-16T00:53:56.707253+00:00
441,2021-01-03T05:21:05+00:00,2021-01-03T05:26:21+00:00,2021-01-03T05:46:03+00:00,241,126,24.88,0.0,19.07,,,,,,5.8099995,Van Cortlandt Village,Hunts Point,uber_trips_clean,2025-12-16T00:54:01.707029+00:00
441,2021-01-03T05:21:05+00:00,2021-01-03T05:26:21+00:00,2021-01-03T05:46:03+00:00,241,126,24.88,0.0,19.07,,,,,,5.8099995,Van Cortlandt Village,Hunts Point,uber_trips_prod,2025-12-16T00:54:01.708348+00:00
779,2021-01-03T14:38:33+00:00,2021-01-03T14:43:47+00:00,2021-01-03T15:18:00+00:00,138,181,30.84,0.0,31.11,,,,,,-0.27000046,LaGuardia Airport,Park Slope,uber_trips_clean,2025-12-16T00:54:06.708421+00:00
779,2021-01-03T14:38:33+00:00,2021-01-03T14:43:47+00:00,2021-01-03T15:18:00+00:00,138,181,30.84,0.0,31.11,,,,,,-0.27000046,LaGuardia Airport,Park Slope,uber_trips_prod,2025-12-16T00:54:06.709215+00:00
976,2021-01-17T17:44:32+00:00,2021-01-17T17:47:54+00:00,2021-01-17T18:02:19+00:00,161,246,6.8,0.0,8.91,,,,,,-2.1099997,Midtown Center,West Chelsea/Hudson Yards,uber_trips_clean,2025-12-16T00:54:11.710864+00:00
976,2021-01-17T17:44:32+00:00,2021-01-17T17:47:54+00:00,2021-01-17T18:02:19+00:00,161,246,6.8,0.0,8.91,,,,,,-2.1099997,Midtown Center,West Chelsea/Hudson Yards,uber_trips_prod,2025-12-16T00:54:11.712144+00:00
