index_trip,request_datetime,pickup_datetime,dropoff_datetime,pulocationid,dolocationid,base_passenger_fare,tips,driver_pay,hour,year,month,day,on_time_pickup,uber_sales,pickup_zone,delivery_zone,source,sent_at
919,2021-01-02T21:36:52+00:00,2021-01-02T21:40:42+00:00,2021-01-02T21:49:23+00:00,76,37,7.91,0.0,6.06,,,,,,1.8499999,East New York,Bushwick South,uber_trips_clean,2025-12-16T00:21:11.976923+00:00
919,2021-01-02T21:36:52+00:00,2021-01-02T21:40:42+00:00,2021-01-02T21:49:23+00:00,76,37,7.91,0.0,6.06,,,,,,1.8499999,East New York,Bushwick South,uber_trips_prod,2025-12-16T00:21:11.978954+00:00
214,2021-01-28T16:29:47+00:00,2021-01-28T16:33:05+00:00,2021-01-28T16:45:41+00:00,152,74,11.29,0.0,8.32,,,,,,2.9700003,Manhattanville,East Harlem North,uber_trips_clean,2025-12-16T00:21:16.978125+00:00
214,2021-01-28T16:29:47+00:00,2021-01-28T16:33:05+00:00,2021-01-28T16:45:41+00:00,152,74,11.29,0.0,8.32,,,,,,2.9700003,Manhattanville,East Harlem North,uber_trips_prod,2025-12-16T00:21:16.980590+00:00
429,2021-01-17T19:19:50+00:00,2021-01-17T19:25:00+00:00,2021-01-17T19:30:13+00:00,72,72,6.96,0.0,5.39,,,,,,1.5700002,East Flatbush/Remsen Village,East Flatbush/Remsen Village,uber_trips_clean,2025-12-16T00:21:21.981095+00:00
429,2021-01-17T19:19:50+00:00,2021-01-17T19:25:00+00:00,2021-01-17T19:30:13+00:00,72,72,6.96,0.0,5.39,,,,,,1.5700002,East Flatbush/Remsen Village,East Flatbush/Remsen Village,uber_trips_prod,2025-12-16T00:21:21.984559+00:00
117,2021-01-20T06:59:25+00:00,2021-01-20T07:02:48+00:00,2021-01-20T07:28:40+00:00,149,231,25.54,0.0,24.05,,,,,,1.4900017,Madison,TriBeCa/Civic Center,uber_trips_clean,2025-12-16T00:21:26.983910+00:00
117,2021-01-20T06:59:25+00:00,2021-01-20T07:02:48+00:00,2021-01-20T07:28:40+00:00,149,231,25.54,0.0,24.05,,,,,,1.4900017,Madison,TriBeCa/Civic Center,uber_trips_prod,2025-12-16T00:21:26.985169+00:00
998,2021-01-18T15:41:20+00:00,2021-01-18T15:45:02+00:00,2021-01-18T16:00:24+00:00,60,259,20.51,0.0,16.02,,,,,,4.49,Crotona Park East,Woodlawn/Wakefield,uber_trips_clean,2025-12-16T00:21:31.985069+00:00
998,2021-01-18T15:41:20+00:00,2021-01-18T15:45:02+00:00,2021-01-18T16:00:24+00:00,60,259,20.51,0.0,16.02,,,,,,4.49,Crotona Park East,Woodlawn/Wakefield,uber_trips_prod,2025-12-16T00:21:31.987419+00:00
