index_trip,request_datetime,pickup_datetime,dropoff_datetime,pulocationid,dolocationid,base_passenger_fare,tips,driver_pay,hour,year,month,day,on_time_pickup,uber_sales,pickup_zone,delivery_zone,source,sent_at
128,2021-01-12T23:36:22+00:00,2021-01-12T23:39:51+00:00,2021-01-12T23:54:14+00:00,137,97,20.16,0.0,14.19,,,,,,5.9700003,Kips Bay,Fort Greene,uber_trips_clean,2025-12-16T00:20:21.949617+00:00
128,2021-01-12T23:36:22+00:00,2021-01-12T23:39:51+00:00,2021-01-12T23:54:14+00:00,137,97,20.16,0.0,14.19,,,,,,5.9700003,Kips Bay,Fort Greene,uber_trips_prod,2025-12-16T00:20:21.960297+00:00
363,2021-01-25T10:30:30+00:00,2021-01-25T10:32:10+00:00,2021-01-25T10:41:30+00:00,255,17,8.02,0.0,6.68,,,,,,1.3400006,Williamsburg (North Side),Bedford,uber_trips_clean,2025-12-16T00:20:26.951742+00:00
363,2021-01-25T10:30:30+00:00,2021-01-25T10:32:10+00:00,2021-01-25T10:41:30+00:00,255,17,8.02,0.0,6.68,,,,,,1.3400006,Williamsburg (North Side),Bedford,uber_trips_prod,2025-12-16T00:20:26.961946+00:00
251,2021-01-17T02:00:00+00:00,2021-01-17T01:45:00+00:00,2021-01-17T02:10:06+00:00,41,186,18.94,0.0,18.96,,,,,,-0.01999855,Central Harlem,Penn Station/Madison Sq West,uber_trips_clean,2025-12-16T00:20:31.954970+00:00
251,2021-01-17T02:00:00+00:00,2021-01-17T01:45:00+00:00,2021-01-17T02:10:06+00:00,41,186,18.94,0.0,18.96,,,,,,-0.01999855,Central Harlem,Penn Station/Madison Sq West,uber_trips_prod,2025-12-16T00:20:31.963993+00:00
744,2021-01-05T19:24:21+00:00,2021-01-05T19:30:13+00:00,2021-01-05T19:42:11+00:00,61,35,9.41,0.0,7.99,,,,,,1.4200001,Crown Heights North,Brownsville,uber_trips_clean,2025-12-16T00:20:36.955631+00:00
744,2021-01-05T19:24:21+00:00,2021-01-05T19:30:13+00:00,2021-01-05T19:42:11+00:00,61,35,9.41,0.0,7.99,,,,,,1.4200001,Crown Heights North,Brownsville,uber_trips_prod,2025-12-16T00:20:36.965806+00:00
778,2021-01-17T10:34:28+00:00,2021-01-17T10:39:29+00:00,2021-01-17T10:50:05+00:00,14,228,7.22,0.0,7.61,,,,,,-0.39000034,Bay Ridge,Sunset Park West,uber_trips_clean,2025-12-16T00:20:41.960808+00:00
778,2021-01-17T10:34:28+00:00,2021-01-17T10:39:29+00:00,2021-01-17T10:50:05+00:00,14,228,7.22,0.0,7.61,,,,,,-0.39000034,Bay Ridge,Sunset Park West,uber_trips_prod,2025-12-16T00:20:41.967082+00:00
